kanji,count,strokes,translation,kun_readings,on_readings,radical_basis,radical_meaning,kun_romaji,on_romaji
進,17,11,"advance, proceed, progress, promote","すす.む, すす.める",シン,辵,walk,"susu.mu, susu.meru",shin
香,3,9,"incense, smell, perfume","か, かお.り, かお.る","コウ, キョウ",香,fragrance,"ka, kao.ri, kao.ru","kou, kyou"
辛,7,7,"spicy, bitter, hot, acrid","から.い, つら.い, -づら.い, かのと",シン,辛,bitter,"kara.i, tsura.i, -zura.i, kanoto",shin
料,16,10,"fee, materials",None,リョウ,斗,dipper,None,ryou
降,7,10,"descend, precipitate, fall, surrender","お.りる, お.ろす, ふ.る, ふ.り, くだ.る, くだ.す","コウ, ゴ",dam,mound,"o.riru, o.rosu, fu.ru, fu.ri, kuda.ru, kuda.su","kou, go"
水,32,4,water,"みず, みず-",スイ,水,water,"mizu, mizu-",sui
洪,1,9,"deluge, flood, vast",None,コウ,水,water,None,kou
成,20,6,"turn into, become, get, grow, elapse, reach","な.る, な.す, -な.す","セイ, ジョウ",戈,spear,"na.ru, na.su, -na.su","sei, jou"
公,20,4,"public, prince, official, governmental",おおやけ,"コウ, ク",八,eight,ooyake,"kou, ku"
然,14,12,"sort of thing, so, if so, in that case, well","しか, しか.り, しか.し, さ","ゼン, ネン",火,fire,"shika, shika.ri, shika.shi, sa","zen, nen"
争,8,6,"contend, dispute, argue","あらそ.う, いか.でか",ソウ,亅,hook,"araso.u, ika.deka",sou
構,7,14,"posture, stance, appearance, build, set up","かま.える, かま.う",コウ,木,tree,"kama.eru, kama.u",kou
想,11,13,"idea, thought, conception, think",おも.う,"ソウ, ソ",心,heart,omo.u,"sou, so"
後,20,9,"behind, back, later","のち, うし.ろ, うしろ, あと, おく.れる","ゴ, コウ",彳,step,"nochi, ushi.ro, ushiro, ato, oku.reru","go, kou"
退,12,9,"retreat, withdraw, retire, resign, repel, expel, reject","しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く",タイ,辵,walk,"shirizo.ku, shirizo.keru, hi.ku, no.ku, no.keru, do.ku",tai
沢,3,7,"swamp, marsh, brilliance, grace","さわ, うるお.い, うるお.す, つや",タク,水,water,"sawa, uruo.i, uruo.su, tsuya",taku
団,10,6,"group, association","かたまり, まる.い","ダン, トン",囗,enclosure,"katamari, maru.i","dan, ton"
調,21,15,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate","しら.べる, しら.べ, ととの.う, ととの.える",チョウ,言,speech,"shira.beru, shira.be, totono.u, totono.eru",chou
頭,9,16,"head, counter for large animals","あたま, かしら, -がしら, かぶり","トウ, ズ, ト",頁,leaf,"atama, kashira, -gashira, kaburi","tou, zu, to"
読,8,14,read,"よ.む, -よ.み","ドク, トク, トウ",言,speech,"yo.mu, -yo.mi","doku, toku, tou"
購,3,17,"subscription, buy",None,コウ,貝,shell,None,kou
入,37,2,"enter, insert","い.る, -い.る, -い.り, い.れる, -い.れ, はい.る","ニュウ, ジュ",入,enter,"i.ru, -i.ru, -i.ri, i.reru, -i.re, hai.ru","nyuu, ju"
認,5,14,"acknowledge, witness, discern, recognize, appreciate, believe","みと.める, したた.める",ニン,言,speech,"mito.meru, shitata.meru",nin
熱,12,15,"heat, temperature, fever, mania, passion",あつ.い,ネツ,火,fire,atsu.i,netsu
費,9,12,"expense, cost, spend, consume, waste","つい.やす, つい.える",ヒ,貝,shell,"tsui.yasu, tsui.eru",hi
買,4,12,buy,か.う,バイ,貝,shell,ka.u,bai
評,7,12,"evaluate, criticism, comment",None,ヒョウ,言,speech,None,hyou
付,38,5,"adhere, attach, refer to, append","つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき",フ,人,man,"tsu.keru, -tsu.keru, -zu.keru, tsu.ke, tsu.ke-, -tsu.ke, -zu.ke, -zuke, tsu.ku, -zu.ku, tsu.ki, -tsu.ki, -tsuki, -zu.ki, -zuki",fu
募,5,12,"recruit, campaign, gather (contributions), enlist, grow violent",つの.る,ボ,力,power,tsuno.ru,bo
巧,3,5,"adroit, skilled, ingenuity","たく.み, たく.む, うま.い",コウ,工,work,"taku.mi, taku.mu, uma.i",kou
妙,4,7,"exquisite, strange, queer, mystery, miracle, excellent, delicate, charming",たえ,"ミョウ, ビョウ",女,woman,tae,"myou, byou"
小,24,3,"little, small","ちい.さい, こ-, お-, さ-",ショウ,小,small,"chii.sai, ko-, o-, sa-",shou
売,19,7,sell,"う.る, う.れる",バイ,士,scholar,"u.ru, u.reru",bai
効,7,8,"merit, efficacy, efficiency, benefit","き.く, ききめ, なら.う",コウ,力,power,"ki.ku, kikime, nara.u",kou
率,10,11,"ratio, rate, proportion, %, factor, lead, spearhead, command",ひき.いる,"ソツ, リツ, シュツ",玄,dark,hiki.iru,"sotsu, ritsu, shutsu"
立,36,5,"stand up, rise, set up, erect","た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる","リツ, リュウ, リットル",立,stand,"ta.tsu, -ta.tsu, ta.chi-, ta.teru, -ta.teru, ta.te-, tate-, -ta.te, -da.te, -da.teru","ritsu, ryuu, rittoru"
護,7,20,"safeguard, protect",まも.る,ゴ,言,speech,mamo.ru,go
衛,5,16,"defense, protection",None,"エイ, エ",行,go,None,"ei, e"
柄,7,9,"design, pattern, build, nature, character, handle, crank, grip, knob, shaft","がら, え, つか",ヘイ,木,tree,"gara, e, tsuka",hei
切,37,4,"cut, cutoff, be sharp","き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ, -ぎ.れ","セツ, サイ",刀,knife,"ki.ru, -ki.ru, ki.ri, -ki.ri, -gi.ri, ki.reru, -ki.reru, ki.re, -ki.re, -gi.re","setsu, sai"
手,61,4,hand,"て, て-, -て, た-","シュ, ズ",手,hand,"te, te-, -te, ta-","shu, zu"
国,23,8,country,くに,コク,囗,enclosure,kuni,koku
産,27,11,"products, bear, give birth, yield, childbirth, native, property","う.む, う.まれる, うぶ-, む.す",サン,生,life,"u.mu, u.mareru, ubu-, mu.su",san
告,9,7,"revelation, tell, inform, announce",つ.げる,コク,口,mouth,tsu.geru,koku
白,10,5,white,"しろ, しら-, しろ.い","ハク, ビャク",白,white,"shiro, shira-, shiro.i","haku, byaku"
防,11,7,"ward off, defend, protect, resist",ふせ.ぐ,ボウ,dam,mound,fuse.gu,bou
有,21,6,"possess, have, exist, happen, occur, approx",あ.る,"ユウ, ウ",月,moon,a.ru,"yuu, u"
極,10,12,"poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48","きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる","キョク, ゴク",木,tree,"kiwa.meru, kiwa.maru, kiwa.mari, kiwa.mi, ki.meru, -gi.me, ki.maru","kyoku, goku"
楽,11,13,"music, comfort, ease","たの.しい, たの.しむ, この.む","ガク, ラク, ゴウ",木,tree,"tano.shii, tano.shimu, kono.mu","gaku, raku, gou"
連,17,10,"take along, lead, join, connect, party, gang, clique","つら.なる, つら.ねる, つ.れる, -づ.れ",レン,辵,walk,"tsura.naru, tsura.neru, tsu.reru, -zu.re",ren
焦,5,12,"char, hurry, impatient, irritate, burn, scorch, singe","こ.げる, こ.がす, こ.がれる, あせ.る, じ.れる, じ.らす",ショウ,火,fire,"ko.geru, ko.gasu, ko.gareru, ase.ru, ji.reru, ji.rasu",shou
茶,13,9,tea,None,"チャ, サ",艸,grass,None,"cha, sa"
源,7,13,"source, origin",みなもと,ゲン,水,water,minamoto,gen
心,33,4,"heart, mind, spirit, heart radical (no. 61)","こころ, -ごころ",シン,心,heart,"kokoro, -gokoro",shin
得,11,11,"gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit","え.る, う.る",トク,彳,step,"e.ru, u.ru",toku
掛,25,11,"hang, suspend, depend, arrive at, tax, pour","か.ける, -か.ける, か.け, -か.け, -が.け, か.かる, -か.かる, -が.かる, か.かり, -が.かり, かかり, -がかり","カイ, ケイ",手,hand,"ka.keru, -ka.keru, ka.ke, -ka.ke, -ga.ke, ka.karu, -ka.karu, -ga.karu, ka.kari, -ga.kari, kakari, -gakari","kai, kei"
志,6,7,"intention, plan, resolve, aspire, motive, hopes, shilling","シリング, こころざ.す, こころざし",シ,心,heart,"shiringu, kokoroza.su, kokorozashi",shi
強,21,11,strong,"つよ.い, つよ.まる, つよ.める, し.いる, こわ.い","キョウ, ゴウ",弓,bow,"tsuyo.i, tsuyo.maru, tsuyo.meru, shi.iru, kowa.i","kyou, gou"
細,8,11,"dainty, get thin, taper, slender, narrow, detailed, precise","ほそ.い, ほそ.る, こま.か, こま.かい",サイ,糸,silk,"hoso.i, hoso.ru, koma.ka, koma.kai",sai
試,6,13,"test, try, attempt, experiment, ordeal","こころ.みる, ため.す",シ,言,speech,"kokoro.miru, tame.su",shi
快,6,7,"cheerful, pleasant, agreeable, comfortable",こころよ.い,カイ,心,heart,kokoroyo.i,kai
誤,5,14,"mistake, err, do wrong, mislead","あやま.る, -あやま.る",ゴ,言,speech,"ayama.ru, -ayama.ru",go
差,19,10,"distinction, difference, variation, discrepancy, margin, balance","さ.す, さ.し",サ,工,work,"sa.su, sa.shi",sa
孤,3,9,"orphan, alone",None,コ,子,child,None,ko
児,6,7,"newborn babe, child, young of animals","こ, -こ, -っこ","ジ, ニ, ゲイ",儿,legs,"ko, -ko, -kko","ji, ni, gei"
梢,1,11,"treetops, twig","こずえ, くすのき",ショウ,木,tree,"kozue, kusunoki",shou
個,6,10,"individual, counter for articles",None,"コ, カ",人,man,None,"ko, ka"
性,16,8,"sex, gender, nature",さが,"セイ, ショウ",心,heart,saga,"sei, shou"
戸,7,4,"door, counter for houses, door radical (no. 63)",と,コ,戶,door,to,ko
籍,3,20,"enroll, domiciliary register, membership",None,セキ,竹,bamboo,None,seki
代,21,5,"substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee","か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ","ダイ, タイ",人,man,"ka.waru, kawa.ru, kawa.ri, ka.wari, -gawa.ri, -ga.wari, ka.eru, yo, shiro","dai, tai"
誇,3,13,"boast, be proud, pride, triumphantly",ほこ.る,コ,言,speech,hoko.ru,ko
張,13,11,"counter for bows & stringed instruments, stretch, spread, put up (tent)","は.る, -は.り, -ば.り",チョウ,弓,bow,"ha.ru, -ha.ri, -ba.ri",chou
滑,4,13,"slippery, slide, slip, fail exam","すべ.る, なめ.らか","カツ, コツ",水,water,"sube.ru, name.raka","katsu, kotsu"
稽,2,15,"think, consider","かんが.える, とど.める",ケイ,禾,grain,"kanga.eru, todo.meru",kei
骨,4,10,"skeleton, bone, remains, frame",ほね,コツ,骨,bone,hone,kotsu
董,1,12,correct,ただ.す,トウ,艸,grass,tada.su,tou
品,25,9,"goods, refinement, dignity, article, counter for meal courses",しな,"ヒン, ホン",口,mouth,shina,"hin, hon"
固,6,8,"harden, set, clot, curdle","かた.める, かた.まる, かた.まり, かた.い",コ,囗,enclosure,"kata.meru, kata.maru, kata.mari, kata.i",ko
事,36,8,"matter, thing, fact, business, reason, possibly","こと, つか.う, つか.える","ジ, ズ",亅,hook,"koto, tsuka.u, tsuka.eru","ji, zu"
独,11,9,"single, alone, spontaneously, Germany",ひと.り,"ドク, トク",犬,dog,hito.ri,"doku, toku"
殊,2,10,"particularly, especially, exceptionally",こと,シュ,歹,death,koto,shu
粉,4,10,"flour, powder, dust","デシメートル, こ, こな",フン,米,rice,"deshimeーtoru, ko, kona",fun
碁,3,13,Go,None,ゴ,石,stone,None,go
盤,4,15,"tray, shallow bowl, platter, tub, board, phonograph record",None,バン,皿,dish,None,ban
別,14,7,"separate, branch off, diverge, fork, another, extra, specially","わか.れる, わ.ける",ベツ,刀,knife,"waka.reru, wa.keru",betsu
込,24,5,"crowded, mixture, in bulk, included, (kokuji)","-こ.む, こ.む, こ.み, -こ.み, こ.める",None,辵,walk,"-ko.mu, ko.mu, ko.mi, -ko.mi, ko.meru",None
籠,2,22,"basket, devote oneself, seclude oneself, cage, coop, implied","かご, こ.める, こも.る, こ.む","ロウ, ル",竹,bamboo,"kago, ko.meru, komo.ru, ko.mu","rou, ru"
暦,3,14,"calendar, almanac",こよみ,"レキ, リャク",日,sun,koyomi,"reki, ryaku"
凝,2,16,"congeal, freeze, stiff, be absorbed in","こ.る, こ.らす, こご.らす, こご.らせる, こご.る",ギョウ,冫,ice,"ko.ru, ko.rasu, kogo.rasu, kogo.raseru, kogo.ru",gyou
懲,1,18,"penal, chastise, punish, discipline","こ.りる, こ.らす, こ.らしめる",チョウ,心,heart,"ko.riru, ko.rasu, ko.rashimeru",chou
根,10,10,"root, radical, head (pimple)","ね, -ね",コン,木,tree,"ne, -ne",kon
気,68,6,"spirit, mind, air, atmosphere, mood","いき, き","キ, ケ",气,steam,"iki, ki","ki, ke"
拠,2,8,"foothold, based on, follow, therefore",よ.る,"キョ, コ",手,hand,yo.ru,"kyo, ko"
混,9,11,"mix, blend, confuse","ま.じる, -ま.じり, ま.ざる, ま.ぜる, こ.む",コン,水,water,"ma.jiru, -ma.jiri, ma.zaru, ma.zeru, ko.mu",kon
血,7,6,blood,ち,ケツ,血,blood,chi,ketsu
昆,1,8,"descendants, elder brother, insect",None,コン,日,sun,None,kon
虫,3,6,"insect, bug, temper",むし,"チュウ, キ",虫,insect,mushi,"chuu, ki"
底,4,8,"bottom, sole, depth, bottom price, base, kind, sort",そこ,テイ,广,house,soko,tei
同,23,6,"same, agree, equal",おな.じ,ドウ,口,mouth,ona.ji,dou
本,31,5,"book, present, main, origin, true, real, counter for long cylindrical things",もと,ホン,木,tree,moto,hon
財,6,10,"property, money, wealth, assets",たから,"ザイ, サイ, ゾク",貝,shell,takara,"zai, sai, zoku"
再,10,6,"again, twice, second time",ふたた.び,"サイ, サ",冂,open,futata.bi,"sai, sa"
会,35,6,"meeting, meet, party, association, interview, join","あ.う, あ.わせる, あつ.まる","カイ, エ",人,man,"a.u, a.waseru, atsu.maru","kai, e"
災,5,7,"disaster, calamity, woe, curse, evil",わざわ.い,サイ,火,fire,wazawa.i,sai
害,11,10,"harm, injury",None,ガイ,宀,roof,None,gai
菌,3,11,"germ, fungus, bacteria",None,キン,艸,grass,None,kin
採,8,11,"pick, take, fetch, take up",と.る,サイ,手,hand,to.ru,sai
掘,3,11,"dig, delve, excavate",ほ.る,クツ,手,hand,ho.ru,kutsu
決,21,7,"decide, fix, agree upon, appoint","き.める, -ぎ.め, き.まる, さ.く",ケツ,水,water,"ki.meru, -gi.me, ki.maru, sa.ku",ketsu
建,10,9,build,"た.てる, た.て, -だ.て, た.つ","ケン, コン",廴,long,"ta.teru, ta.te, -da.te, ta.tsu","ken, kon"
在,11,6,"exist, outskirts, suburbs, located in",あ.る,ザイ,土,earth,a.ru,zai
庫,5,10,"warehouse, storehouse",くら,"コ, ク",广,house,kura,"ko, ku"
算,13,14,"calculate, divining, number, abacus, probability",そろ,サン,竹,bamboo,soro,san
生,62,5,"life, genuine, birth","い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う","セイ, ショウ",生,life,"i.kiru, i.kasu, i.keru, u.mareru, uma.reru, u.mare, umare, u.mu, o.u, ha.eru, ha.yasu, ki, nama, nama-, na.ru, na.su, mu.su, -u","sei, shou"
政,7,9,"politics, government","まつりごと, まん","セイ, ショウ",攴,rap,"matsurigoto, man","sei, shou"
最,11,12,"utmost, most, extreme","もっと.も, つま","サイ, シュ",曰,say,"motto.mo, tsuma","sai, shu"
善,6,12,"virtuous, good, goodness","よ.い, い.い, よ.く, よし.とする",ゼン,口,mouth,"yo.i, i.i, yo.ku, yoshi.tosuru",zen
択,2,7,"choose, select, elect, prefer",えら.ぶ,タク,手,hand,era.bu,taku
栽,1,10,"plantation, planting",None,サイ,木,tree,None,sai
培,1,11,"cultivate, foster",つちか.う,バイ,土,earth,tsuchika.u,bai
発,31,9,"departure, discharge, publish, emit, start from, disclose, counter for gunshots","た.つ, あば.く, おこ.る, つか.わす, はな.つ","ハツ, ホツ",癶,footsteps,"ta.tsu, aba.ku, oko.ru, tsuka.wasu, hana.tsu","hatsu, hotsu"
胞,1,9,"placenta, sac, sheath",None,ホウ,肉,meat,None,hou
遮,1,14,"intercept, interrupt, obstruct",さえぎ.る,シャ,辵,walk,saegi.ru,sha
冴,1,7,"be clear, serene, cold, skilful","さ.える, こお.る, ひ.える","ゴ, コ",冫,ice,"sa.eru, koo.ru, hi.eru","go, ko"
竿,1,9,"pole, rod, scale beam, violin neck",さお,カン,竹,bamboo,sao,kan
栄,3,9,"flourish, prosperity, honor, glory, splendor","さか.える, は.え, -ば.え, は.える, え","エイ, ヨウ",木,tree,"saka.eru, ha.e, -ba.e, ha.eru, e","ei, you"
額,4,18,"forehead, tablet, plaque, framed picture, sum, amount, volume",ひたい,ガク,頁,leaf,hitai,gaku
杯,4,8,"counter for cupfuls, wine glass, glass, toast",さかずき,ハイ,木,tree,sakazuki,hai
逆,6,9,"inverted, reverse, opposite, wicked","さか, さか.さ, さか.らう","ギャク, ゲキ",辵,walk,"saka, saka.sa, saka.rau","gyaku, geki"
詐,1,12,"lie, falsehood, deceive, pretend",いつわ.る,サ,言,speech,itsuwa.ru,sa
欺,2,12,"deceit, cheat, delude",あざむ.く,ギ,欠,lack,azamu.ku,gi
削,3,9,"plane, sharpen, whittle, pare, shave","けず.る, はつ.る, そ.ぐ",サク,刀,knife,"kezu.ru, hatsu.ru, so.gu",saku
減,8,12,"dwindle, decrease, reduce, decline, curtail, get hungry","へ.る, へ.らす",ゲン,水,water,"he.ru, he.rasu",gen
錯,1,16,"confused, mix, be in disorder",None,"サク, シャク",金,metal,None,"saku, shaku"
戦,13,13,"war, battle, match","いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く",セン,戈,spear,"ikusa, tataka.u, onono.ku, soyo.gu, wanana.ku",sen
叫,2,6,"shout, exclaim, yell",さけ.ぶ,キョウ,口,mouth,sake.bu,kyou
捧,1,11,"lift up, give, offer, consecrate, sacrifice, dedicate",ささ.げる,ホウ,手,hand,sasa.geru,hou
指,16,9,"finger, point to, indicate, put into, play (chess), measure (ruler)","ゆび, さ.す, -さ.し",シ,手,hand,"yubi, sa.su, -sa.shi",shi
図,12,7,"map, drawing, plan, extraordinary, audacious","え, はか.る","ズ, ト",囗,enclosure,"e, haka.ru","zu, to"
